	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Apr 30 19:42:08 2025

	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            8192      32     17006     33294     56990     52265     52870     34781     44818      48174      78382     60835     91617     54808     61777
            8192      64     11645     51180     73145     98693     91028     53421     68778      89021      95311     45521     36582     61981     68778
            8192     128      8968     21490     34005     34371     40252     22599     37206      32518      38458     20486     10032     15590     12372
            8192     256      2396      3883     13081     15086     13968      6300      7826       7782       9272      5367     11084     19025     16300
            8192     512      2299      5012      9501      9512     11747      6516      4097       3782       6831      1993      4896      5763      5324
            8192    1024       688      2107      2127      2263      2514      1241      4140       3932       6908      2456      2516      4566      4883
            8192    2048       524       773      1074      1137      1180       637      2272       1869       3062      1333      1311      2281      1285
            8192    4096       125       748      1150      1442      1565       822      1177        714       1273       511       702       495       697
            8192    8192        83       385       562       603       588       315       286        138        480       282       138       266       291
           16384       4    156911    434913    173795    268911    308547    321558    367587     340365     422184    429037    363342    442417    507307
           16384       8    155835    251161    145061    153419    154055    212098    104012     237535     354577    302198    256670    151501    152007
           16384      16     83110    113587     97606    105468     85554    106922    199730     224470     237595    150190    119627    101890    108177
           16384      32     38902     56289     57418     65180     68157     59472    103664      92856     105002     62122     82462     55950     67465
           16384      64     12447     38916     32409     47485     40013     36431     89256      80077     106980     59699     57297     73374     65979
           16384     128      7936     19520     16638     19280     17598     15939     25744      24951      39145     23490     26413     29117     26262
           16384     256      3325     12121      8524      9338      8902      6549     18952      22299      24825     11173      4469      8312      9232
           16384     512      2518      2488      4606      4562      4762      3803      4453       3760       6011      3847      5090      4799      3749
           16384    1024       950      3093      2314      2576      2317      1257      2132       2691       9411      3440      2743      2919      3058
           16384    2048       476      1570      2827      3267      3220      1833      3054       3430       4880      1759      1755      1197      1214
           16384    4096       278       776      1535      1462      1300       783       436        416       1500       807       798       544       496
           16384    8192       160       328       277       524       643       363       250        267        572       294       561       263       270
           16384   16384        79        82       283       314       311       177       120        122        126        77       186       280       350
           32768      64     26125     18708     30732     46201     71198     49435     59347      68660      98256     51733     59485     54883     56971
           32768     128     13523     11517     30637     34919     31585     25199     16091      35432      50572     26890     17040     34255     33591
           32768     256      5821      5081     23863     28546     19731     13994     15755      11004      23447     11899      4460     16129     17025
           32768     512      3157      4038      8777      9517     11781      6211      4484       6854      13405      6131      2128      4784      4854
           32768    1024      1422      2628      2120      2587      4330      3291      2219       3240       4051      3051      1167      2161      2477
           32768    2048       799       601      1181      1119      1483      1343      1056       1410       5988      1326       532      1089      1239
           32768    4096       376       313       601       704      1265       730       487        717       2152       688       290       548      1039
           32768    8192       183       171       248       456       615       365       353        271        645       397       242       294       313
           32768   16384        83        69       164       278       253       184       192        119        321       142       102       176       248
           65536      64     16726     31488    105403    100587     95450     54555     40218      83469      92938     53195     25252     39045     88565
           65536     128     14977     15529     19062     45535     50151     23746     21383      49121      52006     27979     13174     25342     55826
           65536     256      7662      7862     11363     20570     22640     13855      9312      25442      27877     13412     14347      9627     23119
           65536     512      3778      6349      4564     10307     12989      5917      5307       9777      14195      6658      3215      4698     10131
           65536    1024      1751      1745      2650      6094      6652      3692      2816       6321       6503      3504      1666      2606      5320
           65536    2048       912       773      1783      2064      2664      1343      1318       2507       3773      1439      1220      1298      2903
           65536    4096       423       406       517      1204      1432       783       605       1050       1539       723       377       586      1263
           65536    8192       198       208       394       617       631       381       284        432        663       368       205       305       627
           65536   16384       102       170       206       311       309       188       137        211        337       199       113       184       344
          131072      64     31560     36738     57888    109307     97976     58178     52787      99863     105675     58938     39329     62610    113682
          131072     128     16731     18185     24636     43678     50193     30285     24726      51576      53917     30279     17121     25133     57082
          131072     256      8547      9115     12198     27830     25901     15322     12675      25269      26424     14105     11913     13962     28449
          131072     512      4195      4486      7760     12264     13587      7800      7126      12493      14102      7405      4945     11611     13911
          131072    1024      2145      2356      3370      6823      6746      3905      6371       6483       6954      3669      2407      3847      7257
          131072    2048       989      1212      1708      3331      3272      1887      2829       2983       3543      1594      1087      1676      3277
          131072    4096       457       541       823      1547      1449       855       846       1212       1634       719       500       844      1559
          131072    8192       219       259       393       681       664       400       578        467        726       359       257       421       696
          131072   16384       110       134       239       323       314       195       355        229        204       186       137       200       331
          262144      64     35179     48418     67359    105414     97915     61398     61691     107627     104205     63491     45448     71393    109629
          262144     128     18515     32431     32753     55659     53007     33172     34870      56794      57320     31780     31307     37268     58307
          262144     256      9502     11748     26836     27893     23174     15102     18789      29179      29924     16061     15262     18522     28902
          262144     512      4715      6305      9234     13779     14380      8542      9045      14000      14492      8094      5936      9406     14922
          262144    1024      2336      3992      4314      7342      7064      4075      4756       6938       6564      3876      2916      4913      7696
          262144    2048      1044      1468      2297      3558      3344      2045      2051       3325       3655      1704      1339      2202      3492
          262144    4096       468       686       975      1656      1617       874      1142       1177       1753       710       622      1133      1742
          262144    8192       231       317       516       745       704       411       474        501        769       350       300       551       728
          262144   16384       113       166       255       344       329       184       250        221        325       167       148       287       352
          524288      64     33542     63059     88969    115051     98408     67350     99360     117458     104601     67310     65830     99366    116976
          524288     128     17712     33267     46046     59928     54667     36075     53345      60117      59739     35496     31748     49250     61087
          524288     256      9190     17152     21910     28874     28573     18047     22480      30832      30280     16656     14791     23519     30644
          524288     512      4643      8309     10869     14702     14409      9353     10533      16679      15924      8502      8778     13815     15221
          524288    1024      2215      4033      7016      7789      7609      4628      7721       7304       7951      4205      3623      7308      7871
          524288    2048      1030      1850      3534      3770      3596      2204      2980       3595       3972      1751      1589      3494      3805
          524288    4096       504       796      1614      1815      1797       967      1808       1357       1884       764       697      1676      1861
          524288    8192       234       379       752       740       715       420       700        486        788       356       332       675       759
          524288   16384       116       185       339       352       345       200       296        236        360       180       172       347       361

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   181962  140509  20514  11293  6098 
"128"   39606  32996  14571  8314  5320  3345 
"256"   58396  44816  28128  11429  6145  3595  1949 
"512"   52353  46783  36286  21218  11680  2865  1467  926 
"1024"   61837  41435  26609  12754  8027  3864  1607  1656  811 
"2048"   60679  116789  27645  11173  8205  4266  3007  2732  468  193 
"4096"   61047  40445  24432  32488  8023  6704  3315  1410  508  281  194 
"8192"   87896  152472  29670  17006  11645  8968  2396  2299  688  524  125  83 
"16384"   156911  155835  83110  38902  12447  7936  3325  2518  950  476  278  160  79 
"32768"   0  0  0  0  26125  13523  5821  3157  1422  799  376  183  83 
"65536"   0  0  0  0  16726  14977  7662  3778  1751  912  423  198  102 
